check,motivation,implementation,result,conclusion_changes,source
Design weighting of the human benchmark,"The human country means are design-weighted by pspwght and the silicon means are unweighted, which is an asymmetry in the comparison rather than a modelling choice. The earlier draft reported r = 0.999 as evidence that weighting does not matter; that figure is the correlation between two vectors of 42 coefficients, not item-level agreement, and it cannot bound the per-item change.",Recompute every between-country correlation on unweighted human means and compare item by item.,"Correlation between the two vectors of coefficients 0.9987, but the largest item-level change is 0.103 (health). The vector correlation is not a bound on the item-level change and must not be quoted as one.",No. The median and the direction decomposition are unaffected; the misdescription in the earlier draft is corrected in the text.,weight_robustness.csv
Direction classification of the 42 items,"The classification is investigator-coded, so the obvious objection is that the direction effect is an artefact of how items were coded. Four items were disputed during coding: hmsfmlsh, gincdif, rlgatnd and vote.","Freeze the classification in item_direction_table.csv from the ESS11 codebook before computing anything, then recompute the R^2 of the between-country correlation on direction under the full set, excluding the most disputed item, and excluding the items that fail the pre-declared dispersion screen.","R^2 = 0.6576 on all 42 items, 0.6531 excluding vote, and 0.7455 excluding vote and the two screened items. The effect strengthens as the least interpretable items are removed.","No, and the conclusion is stated as robust to classification because the objection makes it stronger rather than weaker.","item_direction_table.csv, manuscript_numbers.csv"
Items whose silicon dispersion is near zero,"A between-country correlation computed on a predictor with almost no variance is noise, and reading it substantively would be an error. The screen has to be on reliability rather than on raw dispersion, because raw dispersion confounds the signal with the sampling variance.",Screen on silicon-side country-mean reliability at 0.50 and declare the excluded items before the anchored results returned.,"Two items fall below the threshold: hmsfmlsh (reliability 0.25), rlgatnd (reliability 0.44). The item with the second-lowest raw dispersion, inprdsc, has reliability 0.615 and is retained, which is why the screen is on reliability.",No. Both items are pre-declared uninterpretable and the primary anchored specification excludes them; the triple difference is positive with an interval excluding zero on all three item sets.,"c5_dispersion_screen.csv, twoxtwo_triple_difference.csv"
Item set for the anchoring experiment,"The primary specification excludes two items on a pre-declared rule, so a reader is entitled to ask whether the result depends on the exclusion, and to ask the converse: whether it depends on the two items that move most.","Report the triple difference on all twelve reverse items, on the ten surviving the pre-declared exclusions, and on the eight that remain after also dropping the two largest movers.","all reverse items in batch (n=12): +0.4912 [+0.1515, +0.8809], 11/12 up; analysable reverse items, pre-declared exclusions (n=10): +0.4230 [+0.1259, +0.7928], 10/10 up; further excluding freehms and hmsacld (n=8): +0.1636 [+0.0507, +0.2671], 8/8 up","No for the sign and the interval, which exclude zero on all three sets. Yes for the verdict on the gap: eliminated on the primary set, narrowed by 60 per cent with a residual on the most conservative set. Both must be reported.",twoxtwo_triple_difference.csv
Choice of forward control items,"The triple difference is defined against ten forward controls, six of them dosage-matched coarse-scale items. If the result depended on which controls were chosen it would not be a mechanism.","Hold the primary reverse set fixed, leave each forward control out in turn, and recompute the triple difference.","All 10 leave-one-out variants keep the triple difference in [0.403, 0.455], against the primary 0.423. The largest shift is 0.032 (dropping sclmeet (9 controls)).",No.,twoxtwo_forward_control_robustness.csv
Run-to-run stability of the generation,"Generation is unseeded, so every arm is one draw. Before the replicate arm was run, no contrast in the chapter could be distinguished from stochastic variation, and the earlier reproduction gate set a per-item tolerance without knowing what the noise was.","Run qwen_1p_rep, an independent unseeded generation of the same 22 items over the same 685 respondents, and compare item by item against qwen_1p.","Median absolute difference in the between-country correlation 0.0602, maximum 0.1854, no sign reversals. The earlier gate's tolerance of 0.03 is less than half the observed median and would have failed on noise.","No, and it closes a stated limitation. Every contrast is now read against a 0.060 band; the anchoring effect of +0.156 and the primary triple difference of +0.423 sit outside it, and the individual steps of the ladder do not.",data/conditions/silicon_full_country_scatter_qwen_1p_rep.csv
Deflator for the macro-covariate comparator,The comparator's strength should not depend on an accounting choice the analyst makes after seeing the result.,"Run the arm under current US dollars and under purchasing power parity. Current dollars is declared primary because the pipeline documentation names that indicator, so the choice precedes the result, and because it is the weaker comparator.",Median r 0.6177 under dollars and 0.6317 under parity; median normalised MAE 0.0522 and 0.0527. The model loses on level accuracy on all 42 items under both.,"No for the comparison with the model. Yes for one claim that is therefore not made: log GDP alone outranks the regional average under dollars but not under parity, so the covariate-alone claim is deflator-dependent.","gdp_arm_summary.csv, gdp_arm_decomposition.csv"
Israel as a bloc of one in the comparator,"Israel is the only country in its regional bloc, so its in-sample leverage is exactly 1.000 on every item and out of sample it is predicted as the reference category. Either treatment is arguable, so both are reported.","Recompute every arm, including the model's own correlation, on the 29 countries excluding Israel.",Median r for the comparator moves from 0.6177 to 0.6741; the gap to the model moves from 0.174 to 0.177.,No.,"gdp_il_identification.csv, gdp_arm_summary.csv"
Influential countries in the comparator,"A macro-covariate regression on thirty observations can be carried by one or two extreme countries, and Ireland's GDP per capita is a known outlier because of profit shifting.",Leave each country out in turn; report the movement in the headline and the leverage of each country.,"Excluding Ireland moves the headline by -0.001 under dollars. The high-leverage country is Ukraine, mean hat 0.495, not Ireland.",No.,gdp_influence.csv
Coverage in the Llama third-person arm,"That arm parses 77.3 per cent of scheduled responses against 96.6 to 98.3 per cent everywhere else, and the loss is patterned by item type and by country rather than random. If its results survive a coverage restriction they can be read; if not, they cannot.",Recompute the median between-country correlation restricting to items above a sequence of coverage thresholds.,"Median r falls from +0.1729 on all 42 items to -0.0009 on the 19 items above 0.80 coverage. The arm's apparent recovery is carried entirely by its worst-covered items, which are the eleven-point scales.","Yes. The arm cannot identify a framing effect, because the selection runs along the response-scale dimension on which mechanism two is identified. The framing null rests on Qwen alone and the chapter must say so.","llama3p_coverage_sensitivity.csv, framing_contrast_paired.csv"
Aggregator for the dispersion ratios,"Two aggregators are defensible and the chapter reports the within and the between ratio in one sentence, using a mean for one and a median for the other. An unnamed choice between two defensible estimators is not a robustness question but a reporting fault.",Emit all three within-country estimators and both between-country estimators for every condition.,"Within-country: 0.6052 as a mean of ratios, 0.5727 as a median, 0.5859 as a ratio of means. Between-country: 0.2821 as a median, 0.2952 as a mean.","No. All three within estimators fail the pre-declared 0.9 to 1.1 band, so no conclusion turns on the choice. The choice is still named wherever the pair is reported.","sd_ratio_estimators.csv, condition_summary.csv"
