section,claim,quantity,value,source,note
4.1 item heterogeneity,aggregate recovery is moderate on the item-level metric,median between-country r,0.4433,qwen_1p_item_r_bc.csv,
4.1 item heterogeneity,threshold counts,items with r > 0.50,20,qwen_1p_item_r_bc.csv,
4.1 item heterogeneity,threshold counts,items with r > 0.70,9,qwen_1p_item_r_bc.csv,
4.1 item heterogeneity,a subset of items is inverted,items with r < 0,11,qwen_1p_item_r_bc.csv,
4.1 item heterogeneity,response direction explains most item heterogeneity,forward mean r,0.5509,qwen_1p_item_r_bc.csv,n=29
4.1 item heterogeneity,response direction explains most item heterogeneity,reverse mean r,-0.2979,qwen_1p_item_r_bc.csv,n=13
4.1 item heterogeneity,response direction explains most item heterogeneity,R^2 of r on direction,0.6576,qwen_1p_item_r_bc.csv,
4.1 item heterogeneity,recovery is substantial once direction is accounted for,sign-aligned median r,0.5353,qwen_1p_item_r_bc.csv,
4.1 item heterogeneity,the inverted items are almost all reverse-coded,inverted items that are reverse-coded,10/11,qwen_1p_item_r_bc.csv,"the exception is euftf, a bipolar policy item"
4.1 item heterogeneity,most severe inversions,two most negative items,"freehms -0.820, hmsacld -0.726",qwen_1p_item_r_bc.csv,third and fourth ranks swap between rounds; do not rank beyond the top two
4.1 item heterogeneity,the direction result survives dropping unstable items,direction R^2 (excl. vote),0.6531,qwen_1p_item_r_bc.csv,n=41
4.1 item heterogeneity,the direction result survives dropping unstable items,direction R^2 (excl. vote+hmsfmlsh+rlgatnd),0.7455,qwen_1p_item_r_bc.csv,n=39
4.1 pooled inflation,pooled correlations are mechanically inflated and must not be read as recovery,pooled r (all item x country cells),0.8217,pooled_vs_item.csv,
4.1 pooled inflation,pooled correlations are mechanically inflated,inflation over the median item-level r,0.3784,pooled_vs_item.csv,"the gap is between-item scale variation, not between-country signal"
4.2 country label,against a rich profile the country label helps forward items and harms reverse ones,"country effect, reverse items (median dr)",-0.1756,contrasts_by_direction.csv,n=13
4.2 country label,against a sparse profile the country effect is much larger,"country effect, forward items (median dr)",0.6402,contrasts_by_direction.csv,
4.2 country label,removing the political-identity variables changes nothing,"LOGO effect, forward items (median dr)",-0.0029,contrasts_by_direction.csv,paired item-level test; the condition-level median difference is misleading
4.2 country label,demographic enrichment beyond the country label contributes nothing,"enrichment effect, forward items (median dr)",-0.0225,contrasts_by_direction.csv,Wilcoxon null; see analyze_v13b output
4.2 ladder,"the cumulative curve is non-monotonic, which rules out a compositional account",median r by rung,demo_only -0.029 -> minimal +0.523 -> ses +0.397 -> political +0.287 -> full_clean +0.443,ladder_summary.csv,
4.2 ladder,the model reproduces only a fraction of true cross-national spread,between-country SD ratio by rung,demo_only 0.046 -> minimal 0.222 -> ses 0.364 -> political 0.274 -> full_clean 0.282,ladder_summary.csv,peaks at ses: compositional detail increases differentiation but misdirects it
4.3 distributional,the model compresses within-country dispersion,within-country SD ratio,0.6052,condition_summary.csv,
4.3 distributional,the model compresses between-country dispersion,between-country SD ratio,0.2821,condition_summary.csv,
4.3 distributional,correlation is blind to calibration; concordance is not,median Lin CCC,0.0357,concordance_per_variable.csv,against a median r of 0.4433; CCC = r x Cb
4.3 distributional,"almost all attainable agreement is lost to miscalibration, not to mis-ranking",median Cb (accuracy factor),0.1319,concordance_per_variable.csv,"87% of attainable agreement lost; ranking is the r term, calibration is the Cb term"
4.3 distributional,the model's country estimates are not usable as level estimates,items with negative concordance,11/42,concordance_per_variable.csv,worse than no agreement at all
4.3 distributional,size of the level displacement,median |bias| (scale points),1.1268,concordance_per_variable.csv,
4.3 country profile,country profiles are recovered well on a scale-free measure,profile r range,0.685 (BG) to 0.911 (FI),country_profile_and_mae.csv,mean 0.825
4.3 country profile,but levels are systematically off,mean range-normalized MAE,0.1947,country_profile_and_mae.csv,range 0.161 to 0.220
4.4 cross-level,item-level cross-level agreement is strong,"Pearson r(r_bc, r_ind), as-coded",0.9368,cross_level_agreement.csv,n=42
4.4 cross-level,but roughly a third of that magnitude is the shared direction failure,"Pearson, forward items only",0.7745,cross_level_agreement.csv,n=29
4.4 cross-level,but roughly a third of that magnitude is the shared direction failure,"Pearson, sign-aligned",0.8355,cross_level_agreement.csv,
4.4 cross-level,aggregate performance cannot be used to select countries for individual use,country-level r (aggregate vs individual),-0.2141,aggregate_vs_individual_by_country.csv,"n=30, 90% CI [-0.488, +0.099] — state as a bound, not a relationship"
4.4 cross-level,"cross-level agreement, with and without the shared component","r(r_bc, .) — as-coded",+0.9368 (r_ind) / +0.8540 (pooled-within),cross_level_specifications.csv,"r_ind shares a between-country component with r_bc, so the second figure is the defensible one; the forward-coded-only pooled-within value is the most conservative specification"
4.4 cross-level,"cross-level agreement, with and without the shared component","r(r_bc, .) — forward-coded only",+0.7745 (r_ind) / +0.4899 (pooled-within),cross_level_specifications.csv,"r_ind shares a between-country component with r_bc, so the second figure is the defensible one; the forward-coded-only pooled-within value is the most conservative specification"
4.4 cross-level,"cross-level agreement, with and without the shared component","r(r_bc, .) — sign-aligned",+0.8355 (r_ind) / +0.6326 (pooled-within),cross_level_specifications.csv,"r_ind shares a between-country component with r_bc, so the second figure is the defensible one; the forward-coded-only pooled-within value is the most conservative specification"
5.6 benchmarks,a regional average that knows only the coarse region outranks the model,median r: model vs LOO regional average,+0.4433 vs +0.5542,aggregate_benchmark.csv,"the regional average wins on 24/42 items, so report this as a median shift, NOT as an item-level sweep"
5.6 benchmarks,and beats it far more decisively on level accuracy,median normalised MAE: model vs LOO regional average,0.1796 vs 0.0559,aggregate_benchmark.csv,the regional average wins on 41/42 items
5.6 benchmarks,the model's level estimates are worse than the cross-country average,items where the model beats the grand mean on nMAE,2/42,aggregate_benchmark.csv,median nMAE 0.1796 against 0.0715; the grand mean cannot rank countries at all
5.6 benchmarks,almost all of the level error is a single per-item offset,error reduction from removing a per-item offset,64.2%,aggregate_benchmark.csv,"requires knowing the truth, so this is an optimistic upper bound, not achievable performance"
5.6 benchmarks,MANDATORY CAVEAT for every comparison above,framing,both comparators require survey data from other countries,aggregate_benchmark.csv,"the comparison answers 'should a researcher who already holds real data use the model to extend it', not 'is the model better than nothing'"
5.6 benchmarks,the bloc definition behind the regional comparator,blocs and their sizes,CentralEast n=12; Nordic n=4; Other n=1; Southern n=5; Western n=8,country_bloc_assignment.csv,a bloc of one falls back to the mean of all other countries
5.6 benchmarks,individual-level recovery is near zero against its own ceiling,median demographic ceiling R,0.2103,ceiling_by_variable.csv,lower bound: five linear predictors after country fixed effects
